yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
20061,"1,294.83",22.784,72.67,0.316009441,0.0451,0.0553,0.0641,0.0507,0.015140299,0.002151995,0.009725,0.015243902,-0.042812503,-0.037155631,0.002169212,NaN,0.037218108,0.042213594,0.037400873,5.912,19.69
20062,"1,270.20",23.437,74.49,0.31485029,0.0479,0.0589,0.0678,0.0531,0.022157148,-0.002195489,0.011275,0.015515516,-0.014742967,-0.020550185,0.004057787,NaN,0.037412232,-0.015035979,-0.019659091,6.017,20.11
20063,"1,335.85",24.096,78.57,0.300593284,0.0481,0.0551,0.0643,0.0484,0.025345801,-0.009493486,0.011975,0,0.068251725,0.080065567,0.00243431,NaN,0.037586751,0.057133323,0.052247723,6.088,21.47
20064,"1,418.30",24.884,81.51,0.2816824,0.0485,0.0532,0.0622,0.0491,0.018743192,-0.015036779,0.012025,-0.00542139,0.004285388,0.013539812,0.001400314,NaN,0.037513111,0.065987199,0.060687899,6.867,20.24
20071,"1,420.86",25.494,83.15,0.269050014,0.0494,0.053,0.0627,0.0493,0.007639691,-0.012486353,0.012125,0.017601586,0.008125405,-0.000188149,0.003514865,NaN,0.03771645,0.006577122,0.002042976,6.522,21.33
20072,"1,503.35",26.17,84.921,0.24789561,0.0461,0.0579,0.067,0.0521,0.013095402,-0.011064006,0.01235,0.014609062,-0.020663803,-0.018789272,0.002751156,NaN,0.038069601,0.062016853,0.057198084,6.693,21.881
20073,"1,526.75",26.978,78.601,0.239207437,0.0389,0.0574,0.0659,0.0489,0.017535705,-0.013015004,0.011525,0.000662341,0.050123798,0.025612703,0.009428702,NaN,0.038167999,0.020273122,0.015371192,6.896,15.15
20074,"1,468.36",27.732,66.181,0.250582973,0.03,0.0549,0.0665,0.045,0.019943016,-0.040637294,0.009725,0.007415224,0.059942626,0.019616475,0.009665044,NaN,0.038252808,-0.030705079,-0.035680745,7.621,7.82
20081,"1,322.70",28.302,60.391,0.254057567,0.0126,0.0551,0.0689,0.0432,0.020479444,-0.051831559,0.0075,0.016625721,0.033983606,-0.011280139,0.0143951,NaN,0.037902352,-0.093754971,-0.098504152,7.092,15.54
20082,"1,280.00",28.712,51.37,0.274491388,0.0186,0.0568,0.0707,0.046,0.000500014,-0.047376886,0.00315,0.024760219,-0.023711689,-0.024837072,0.007969623,NaN,0.037495496,-0.025752128,-0.030827229,7.103,12.86
20083,"1,166.36",28.854,45.95,0.287123548,0.0113,0.0565,0.0731,0.0443,0.025931961,-0.048922844,0.00465,-0.000146242,0.033081862,-0.085324068,0.031688363,NaN,0.036341384,-0.07857166,-0.083788403,7.038,9.73
20084,903.25,28.387,14.88,0.354984225,0.0003,0.0505,0.0843,0.0303,0.017291283,-0.024498464,0.002825,-0.039102673,0.206889079,0.233587252,0.114435487,NaN,0.033841174,-0.218959429,-0.224992699,7.154,-23.25
20091,797.87,27.255,6.86,0.296528285,0.0021,0.055,0.0842,0.0355,0.026942495,-0.037427388,0.000075,0.011801473,-0.060794013,-0.124356081,0.042296684,NaN,0.03101772,-0.105578826,-0.113611999,5.96,7.52
